Index,Developer,Video_Game_Name
351,THQ,Big Beach Sports 2
352,Jet Black Games,Big Beach Sports 2
353,Megatoon Studios,Jersey Devil
354,Ocean Software,Jersey Devil
355,Sony Computer Entertainment of America,Jersey Devil
356,Konami,Jersey Devil
357,Infogrames,Jersey Devil
358,Electronic Arts,Need For Speed: Undercover
359,Firebrand Games,Need For Speed: Undercover
360,FreeStyleGames,Guitar Hero Live
361,Activision,Guitar Hero Live
362,Kemco,Rogue Ops
363,Bits Studios,Rogue Ops
364,Grasshopper Manufacture,Killer is Dead
365,XSEED Games,Killer is Dead
366,Codemasters,F1 2014
367,Codemasters Birmingham,F1 2014
368,Cat Daddy Games,New Carnival Games
369,2K Play,New Carnival Games
370,7 Studios,Legion: The Legend of Excalibur
371,Midway Games,Legion: The Legend of Excalibur
372,"GungHo Online Entertainment, Inc.",Puzzle & Dragons X: God Chapter / Dragon Chapter
373,Midway Games,TNA iMPACT!
374,Midway Studios Los Angeles,TNA iMPACT!
375,WB Games,LEGO Jurassic World
376,Warner Bros. Entertainment Inc.,LEGO Jurassic World
377,TT Games,LEGO Jurassic World
378,Feral Interactive,LEGO Jurassic World
379,Electronic Arts,Def Jam: Fight for NY
380,AKI Corporation,Def Jam: Fight for NY
381,EA Canada,Def Jam: Fight for NY
382,Namco Bandai Games,Sword Art Online: Infinity Moment
383,Aquria,Sword Art Online: Infinity Moment
384,The Creative Assembly,Spartan: Total Warrior
385,Sega,Spartan: Total Warrior
386,Takara,EX Monopoly
387,Bandai,64 de Hakken! Tamagotchi Minna de Tamagotchi World
388,Tamsoft,Family Party: 30 Great Games Winter Fun
389,D3 Publisher,Family Party: 30 Great Games Winter Fun
390,Artdink,Gundam Battle Chronicle
391,Bandai,Gundam Battle Chronicle
392,Majesco Entertainment,Zumba Fitness: World Party
393,Zoe Mode,Zumba Fitness: World Party
394,Snowblind Studios,Justice League Heroes
395,Eidos Interactive,Justice League Heroes
396,WB Games,Justice League Heroes
397,SCi Games,Conflict: Vietnam
398,Global Star Software,Conflict: Vietnam
399,Pivotal Games,Conflict: Vietnam
400,Sega Corporation,Hatsune Miku: Project Mirai 2
401,Vivendi Games,Whirl Tour
402,Papaya Studio,Whirl Tour
403,Hudson Soft,Momotarou Dentetsu 15
404,Griptonite Games,Ben 10 Ultimate Alien: Cosmic Destruction
405,D3 Publisher,Ben 10 Ultimate Alien: Cosmic Destruction
406,Papaya Studio,Ben 10 Ultimate Alien: Cosmic Destruction
407,Nordic Games Publishing,We Sing Pop!
408,Le Cortex,We Sing Pop!
409,Konami,pro evolution soccer 2011
410,Konami Computer Entertainment Tokyo,pro evolution soccer 2011
411,Sega,Skies of Arcadia Legends
412,Overworks,Skies of Arcadia Legends
413,Capcom,MotoGP 08
414,Milestone,MotoGP 08
415,Capcom,Sengoku Basara 3 Utage
416,Capcom,Breath of Fire
417,Ubisoft Entertainment,Breath of Fire
418,Cing,Last Window: The Secret of Cape West
419,Nintendo,Last Window: The Secret of Cape West
420,Piranha Bytes,Risen 2: Dark Waters
421,Deep Silver,Risen 2: Dark Waters
422,Uber Entertainment,Risen 2: Dark Waters
423,Global Star Software,Ford vs. Chevy
424,2K Games,Ford vs. Chevy
425,Eutechnyx,Ford vs. Chevy
426,WB Games,LEGO The Hobbit
427,MGM Interactive,LEGO The Hobbit
428,Traveller's Tales,LEGO The Hobbit
429,TT Fusion,LEGO The Hobbit
430,Vigil Games,Darksiders II
431,THQ Nordic,Darksiders II
432,Gunfire Games,Darksiders II
433,EA Sports,NCAA Football 2005
434,EA Orlando,NCAA Football 2005
435,Nintendo,Hamtaro: Ham-Ham Games
436,AlphaDream,Hamtaro: Ham-Ham Games
437,THQ,Danny Phantom: The Ultimate Enemy
438,Altron,Danny Phantom: The Ultimate Enemy
439,Ubisoft Shanghai,Cloudy With a Chance of Meatballs
440,Ubisoft Entertainment,Cloudy With a Chance of Meatballs
441,SCE Japan Studio,Soul Sacrifice Delta
442,Comcept,Soul Sacrifice Delta
443,Marvelous AQL,Soul Sacrifice Delta
444,Sony Computer Entertainment,Soul Sacrifice Delta
445,Activision,NASCAR 2011: The Game
446,Eutechnyx,NASCAR 2011: The Game
447,Hudson Soft,Super Adventure Island
448,Activision,Spider-Man: Edge of Time
449,Beenox,Spider-Man: Edge of Time
450,CyberFront,Bust-A-Move 4
451,Taito,Bust-A-Move 4
452,Natsume Inc.,Bust-A-Move 4
453,PQube,Ride
454,Bandai Namco Holdings,Ride
455,Milestone,Ride
456,Acclaim,NFL Quarterback Club 97
457,Nintendo,Spirit Camera: The Cursed Memoir
458,Koei Tecmo Games,Spirit Camera: The Cursed Memoir
459,AKI Corporation,Galactic Wrestling: Featuring Ultimate Muscle
460,Bandai,Galactic Wrestling: Featuring Ultimate Muscle
461,Electronic Arts,FaceBreaker K.O. Party
462,Capcom,Dino Stalker
463,Capcom Production Studio 3,Dino Stalker
464,Tose,Dino Stalker
465,Natsume Inc.,Mobile Suit Gundam Seed
466,Bandai,Mobile Suit Gundam Seed
467,Harmonix Music Systems,Rock Band Track Pack: Classic Rock
468,MTV Games,Rock Band Track Pack: Classic Rock
469,Activision,Rapala's Fishing Frenzy
470,FUN Labs,Rapala's Fishing Frenzy
471,Inti Creates,Mega Man Zero 3
472,Capcom,Mega Man Zero 3
473,Rising Star Games,Super Swing Golf
474,Ntreev Soft,Super Swing Golf
475,Tecmo,Super Swing Golf
476,Disney Interactive Studios,G-Force
477,Eurocom Entertainment Software,G-Force
478,Imageepoch,Luminous Arc 2
479,Marvelous,Luminous Arc 2
480,Atlus USA,Luminous Arc 2
481,Rising Star Games,Luminous Arc 2
482,Sony Computer Entertainment Europe,Barbie Super Sports
483,Mattel Interactive,Barbie Super Sports
484,CLICK Entertainment,Barbie Super Sports
485,Runecraft,Barbie Super Sports
486,Activision,Tony Hawk's Downhill Jam
487,Vicarious Visions,Tony Hawk's Downhill Jam
488,Piranha Bytes,Risen 2: Dark Waters
489,Deep Silver,Risen 2: Dark Waters
490,Uber Entertainment,Risen 2: Dark Waters
491,Backbone Entertainment,Age of Empires: The Age of Kings
492,Majesco Entertainment,Age of Empires: The Age of Kings
493,Ignition Entertainment,Muramasa: The Demon Blade
494,Vanillaware,Muramasa: The Demon Blade
495,Marvelous Entertainment,Muramasa: The Demon Blade
496,Rising Star Games,Muramasa: The Demon Blade
497,Capcom,MotoGP 09/10
498,Monumental Games,MotoGP 09/10
499,Griptonite Games,The Lord of the Rings: The Third Age
500,Electronic Arts,The Lord of the Rings: The Third Age
501,Surreal Software,The Suffering
502,Midway Home Entertainment,The Suffering
503,Midway Games,The Suffering
504,Zoo Digital,The Suffering
505,Next Level Games,The Suffering
506,Activision,Pitfall: The Big Adventure
507,Avalanche Software,Rampage 2: Universal Tour
508,Midway,Rampage 2: Universal Tour
509,Namco,Ms. Pac-Man: Maze Madness
510,Mass Media Inc,Ms. Pac-Man: Maze Madness
511,Acclaim Studios Salt Lake City,ECW Hardcore Revolution
512,Acclaim Entertainment,ECW Hardcore Revolution
513,Maxis,The Sims 4: Get Together
514,Electronic Arts,The Sims 4: Get Together
515,Namco Tales Studio,Tales of Graces
516,Bandai Namco Entertainment,Tales of Graces
517,Capcom,Viewtiful Joe 2
518,Clover Studio,Viewtiful Joe 2
519,Nick Games,Neopets Puzzle Adventure
520,Capcom,Neopets Puzzle Adventure
521,Infinite Interactive,Neopets Puzzle Adventure
522,Griptonite Games,Neopets Puzzle Adventure
523,Feral Interactive,LEGO Harry Potter: Years 5-7
524,Traveller's Tales,LEGO Harry Potter: Years 5-7
525,WB Games,LEGO Harry Potter: Years 5-7
526,TT Fusion,LEGO Harry Potter: Years 5-7
527,Feral Interactive,LEGO Harry Potter: Years 5-7
528,Traveller's Tales,LEGO Harry Potter: Years 5-7
529,WB Games,LEGO Harry Potter: Years 5-7
530,TT Fusion,LEGO Harry Potter: Years 5-7
531,Feral Interactive,LEGO Harry Potter: Years 5-7
532,Traveller's Tales,LEGO Harry Potter: Years 5-7
533,WB Games,LEGO Harry Potter: Years 5-7
534,TT Fusion,LEGO Harry Potter: Years 5-7
535,Feral Interactive,LEGO Harry Potter: Years 5-7
536,Traveller's Tales,LEGO Harry Potter: Years 5-7
537,WB Games,LEGO Harry Potter: Years 5-7
538,TT Fusion,LEGO Harry Potter: Years 5-7
539,Feral Interactive,LEGO Harry Potter: Years 5-7
540,Traveller's Tales,LEGO Harry Potter: Years 5-7
541,WB Games,LEGO Harry Potter: Years 5-7
542,TT Fusion,LEGO Harry Potter: Years 5-7
543,Feral Interactive,LEGO Harry Potter: Years 5-7
544,Traveller's Tales,LEGO Harry Potter: Years 5-7
545,WB Games,LEGO Harry Potter: Years 5-7
546,TT Fusion,LEGO Harry Potter: Years 5-7
547,Feral Interactive,LEGO Harry Potter: Years 5-7
548,Traveller's Tales,LEGO Harry Potter: Years 5-7
549,WB Games,LEGO Harry Potter: Years 5-7
550,TT Fusion,LEGO Harry Potter: Years 5-7
551,Q Entertainment,Child of Eden
552,Acclaim,NBA Jam Extreme
553,Tomy,Naruto Shippuden: Ninja Council 4
554,Aspect,Naruto Shippuden: Ninja Council 4
555,Dream on Studio,Touch the Dead
556,Eidos Interactive,Touch the Dead
557,Virgin Play,Touch the Dead
558,THQ,Worms: Battle Islands
559,Team17,Worms: Battle Islands
560,Sony Computer Entertainment,Worms: Battle Islands
561,Infogrames,Nickelodeon Party Blast
562,Data Design Interactive,Nickelodeon Party Blast
563,Red Mile Entertainment,Jackass the Game
